"CONSORTIUMALT_KEY"	"CONSORTIUM_KEY"	"CONSORTIUM_NAME"	"CONSORTIUMSHORTNAME"	"CONSORTIUMSHORTNAMEENUM"	"CONSORTIUMGROUP"	"CONSORTIUMSUBGROUP"	"CONSORTIUMSEGMENT"	"SRCSYSCONSORTIUMCODE"	"SRCSYSCONSORTIUMNAME"	"AUTHORISATIONSTATUS"	"EFFECTIVEFROMTIMEKEY"	"EFFECTIVETOTIMEKEY"	"DATECREATED"	"CREATEDBY"	"DATEMODIFIED"	"MODIFYBY"	"APPROVEDBY"	"DATEAPPROVED"	"D2KTIMESTAMP"
6	6	"Multiple Arrangement and Consortium"	""	""	""	""	""	""	""	""	1400	49999		"D2K"		""	"D2K"		00000000000F458F
1	1	"Sole"	""	""	""	""	""	""	""	""	1400	49999		"D2K"		""	"D2K"		00000000000F4590
3	3	"Consortium"	""	""	""	""	""	""	""	""	1400	49999		"D2K"		""	"D2K"		00000000000F4591
5	5	"Sole and Consortium"	""	""	""	""	""	""	""	""	1400	49999		"D2K"		""	"D2K"		00000000000F4592
7	7	"Sole, Consortium and Multiple Arrangement"	""	""	""	""	""	""	""	""	1400	49999		"D2K"		""	"D2K"		00000000000F4593
2	2	"Multiple Arrangement"	""	""	""	""	""	""	""	""	1400	49999		"D2K"		""	"D2K"		00000000000F4594
4	4	"Sole and Multiple Arrangement"	""	""	""	""	""	""	""	""	1400	49999		"D2K"		""	"D2K"		00000000000F4595
