"ENTITYKEY"	"COLLATERALTYPEALTKEY"	"COLLATERALTYPEID"	"COLLATERALTYPE"	"COLLATERALTYPEDESCRIPTION"	"VALUEEXPIRATIONALTKEY"	"EFFECTIVEFROMTIMEKEY"	"EFFECTIVETOTIMEKEY"	"AUTHORISATIONSTATUS"	"CREATEDBY"	"DATECREATED"	"MODIFIEDBY"	"DATEMODIFIED"	"APPROVEDBY"	"DATEAPPROVED"
1	1	""	""	"Current Assets"		1	49999	""	"D2K"	12-MAR-21	""		""	
3	3	""	""	"Immovable Fixed Assets"		1	49999	""	"D2K"	12-MAR-21	""		""	
5	5	""	""	"Other"		1	49999	""	"D2K"	12-MAR-21	""		""	
2	2	""	""	"Movable Fixed Assets"		1	49999	""	"D2K"	12-MAR-21	""		""	
4	4	""	""	"Market Securities"		1	49999	""	"D2K"	12-MAR-21	""		""	
